iso,name
pal,pal
pau,palavanščina
pi,palijščina
pam,pampanščina
pa,pandžabščina
pag,pangasinanščina
pap,papiamentu
paa,"papuanski jezik"
ps,paštu
fa,perzijščina
zh_Hans,"poenostavljena kitajščina"
pl,poljščina
pon,ponpejščina
cpp,"portugalska kreolščina ali pidžinščina"
pt,portugalščina
pra,"prakritski jezik"
raj,radžastanščina
rap,rapanujščina
rar,rarotongščina
rm,retoromanščina
roa,"romanski jezik"
ro,romunščina
rom,romščina
root,root
rw,ruandščina
rn,rundščina
ru,ruščina
sad,sad
sai,sai
sal,sal
sam,"samaritanska aramejščina"
smi,"samijski jezik"
sms,"samijščina Skolt"
sm,samoanščina
sg,sango
sa,sanskrt
sat,santalščina
sc,sardinščina
sas,sasaščina
ceb,sebuanščina
sel,selkupščina
sem,"semitski jezik"
srr,sererščina
st,sesoto
frr,"severna frizijščina"
nd,"severna ndebelščina"
se,"severna samijščina"
nso,"severna sotščina"
nai,"severnoameriški indijanski jezik"
scn,sicilijanščina
sid,sidamščina
sio,sijuščina
bla,siksika
sd,sindščina
si,singalščina
syr,sirščina
den,slavejščina
sla,"slovanski jezik"
sk,slovaščina
sl,slovenščina
snk,snk
sog,sog
so,somalščina
son,songajščina
sh,srbohrvaščina
sr,srbščina
enm,"srednja angleščina"
frm,"srednja francoščina"
mga,"srednja irščina"
dum,"srednja nizozemščina"
gmh,"srednja visoka nemščina"
cai,"srednjeameriški indijanski jezik"
ang,"stara angleščina"
cu,"stara cerkvena slovanščina"
egy,"stara egipčanščina"
fro,"stara francoščina"
grc,"stara grščina"
sga,"stara irščina"
non,"stara nordijščina"
peo,"stara perzijščina"
pro,"stara provansalščina"
goh,"stara visoka nemščina"
suk,sukuma
sux,sumerščina
su,sundanščina
srn,"surinamska kreolščina"
sus,susujščina
sw,svahili
ss,svazijščina
tg,tadžiščina
tl,tagalogščina
ty,tahitščina
tai,"tajski jezik"
th,tajščina
tmh,tamajaščina
ta,tamilščina
tt,tatarščina
te,telugijščina
tem,temnejščina
ter,ter
tet,tetumščina
bo,tibetanščina
ti,tigrajščina
tig,tigrejščina
tiv,tivščina
kcg,"tjapska nigerijščina"
