iso,name
pal,pehlevi
fa,persiešu
pon,ponapiešu
cpp,"portugāliskās kreoliskās valodas un pidžinvalodas"
pt,portugāļu
pl,poļu
pra,"prākrita valoda"
ps,puštu
pi,pāli
raj,radžastāņu
rap,rapanuju
rar,rarotongiešu
rm,retoromāņu
fy,rietumfrīzu
roa,"romāņu valoda"
ro,rumāņu
rn,rundu
root,sakne
sal,"sališu valodas"
sm,samoāņu
sad,sandavu
sg,sangu
sa,sanskrits
sat,santalu
zap,sapoteku
sc,sardīniešu
sas,sasaku
ceb,sebuāņu
sel,selkupu
sem,"semītu valodas"
ang,senangļu
goh,senaugšvācu
fro,senfranču
grc,sengrieķu
non,sennorvēģu
peo,senpersu
pro,senprovansiešu
sga,senīru
sr,serbu
sh,serbu-horvātu
srr,serēru
st,sesoto
scn,sicīliešu
sid,sidamu
bla,siksiku
sd,sindhu
si,singāļu
sit,"sinotibetiešu valodas"
sio,"siū valodas"
sms,skoltsāmu
sco,skotu
den,sleivu
sk,slovāku
sl,slovēņu
sla,slāvu
sog,sogdiešu
fi,somu
fiu,"somugru valodas"
so,somāļu
son,songaju
snk,soninku
wen,sorbu
es,spāņu
es_419,"spāņu (Latīņamerika)"
srn,sranantogo
suk,sukumu
su,sundaniešu
sus,susu
sw,svahili
ss,svatu
smi,"sāmu valoda"
syr,sīriešu
tg,tadžiku
tl,tagalu
ty,taitiešu
th,taju
tai,"taju valodas"
ta,tamilu
tt,tatāru
te,telugu
tem,temnu
ter,tereno
tet,tetumu
bo,tibetiešu
ti,tigrinja
tig,tigru
tiv,tivu
tli,tlinkitu
tkl,tokelaviešu
tpi,tokpisins
to,tongu
tmh,tuaregu
tum,tumbuku
tup,"tupu valodas"
tk,turkmēņu
tr,turku
ota,"turku osmaņu"
tvl,tuvaliešu
tyv,tuviešu
tw,tvī
udm,udmurtu
uga,ugaritiešu
ug,uiguru
uk,ukraiņu
umb,umbundu
hu,ungāru
ur,urdu
uz,uzbeku
mul,"vairākas valodas"
vai,vaju
wak,"vakašu valodas"
wal,valamu
wa,valoņu
war,varaju
was,vašo
osa,važāžu
cy,velsiešu
ve,vendu
enm,vidusangļu
gmh,vidusaugšvācu
frm,vidusfranču
dum,vidusholandiešu
mga,vidusīru
vi,vjetnamiešu
vo,volapiks
wo,volofu
vot,votu
de,vācu
znd,zandē
zen,zenagu
frr,ziemeļfrīzu
nd,ziemeļndebelu
nso,ziemeļsotu
se,ziemeļsāmu
zu,zulu
zun,zunju
sv,zviedru
sgn,"zīmju valodas"
cmc,"čamiešu valodas"
ch,čamorru
cs,čehu
ce,čečenu
chb,čibču
rom,čigānu
chn,"činuku žargons"
chp,čipevaianu
ny,čičeva
cho,čoktavu
cv,čuvašu
chk,čūku
egy,ēģiptiešu
gem,"ģermāņu valodas"
ga,īru
is,īslandiešu
cel,"ķeltu valoda"
zh,ķīniešu
zh_Hant,"ķīniešu tradicionālā"
zh_Hans,"ķīniešu vienkāršotā"
nym,ņamvezu
nyn,ņankolu
nyo,ņoru
de_CH,"Šveices augšvācu"
fr_CH,"Šveices franču"
gsw,"Šveices vācu"
shn,šanu
chy,šejenu
sn,šonu
sux,šumeru
